generation,gen_best_score,gen_mean_score,global_best_score,sigma,best_params,validation_success_rate,validation_collision_rate,validation_obstacle_collision_rate,validation_boundary_collision_rate,validation_avg_return
48,907.2909545898438,304.03863525390625,915.864501953125,0.07738478016963951,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
49,869.6445922851562,277.33221435546875,915.864501953125,0.07583708456624672,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
50,696.7719116210938,277.78607177734375,915.864501953125,0.07432034287492179,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",0.43333333333333335,0.5666666666666667,0.4666666666666667,0.1,51.75100678514521
51,704.5618896484375,265.40142822265625,915.864501953125,0.07283393601742334,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
52,884.7767333984375,227.3919677734375,915.864501953125,0.07137725729707488,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
53,893.4326171875,248.15896606445312,915.864501953125,0.06994971215113338,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
54,743.2293090820312,288.16436767578125,915.864501953125,0.06855071790811071,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
55,869.324951171875,242.7454071044922,915.864501953125,0.0671797035499485,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",0.23333333333333334,0.7666666666666667,0.7666666666666667,0.0,20.024094404963257
56,719.2932739257812,261.08343505859375,915.864501953125,0.06583610947894952,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
57,880.0638427734375,287.54583740234375,915.864501953125,0.06451938728937053,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
58,727.8327026367188,304.3634338378906,915.864501953125,0.06322899954358312,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
59,904.299072265625,255.0980224609375,915.864501953125,0.06196441955271145,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
60,744.3616943359375,286.2221374511719,915.864501953125,0.060725131161657224,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",0.43333333333333335,0.5666666666666667,0.5,0.06666666666666667,55.054799607085535
